"","X","OTU","average","sd","ratio","ava","avb","cumsum","p","contribution","comparison"
"714",714,"Candidatus.Spechtbacteria",0.000118527516125328,0.000125629816639335,0.943466442091554,0.000267707374421171,5.99907510114849e-05,0.997539444997391,0.0478,0.000200370467656974,"P. Contaminated_Geyser"
"716",716,"candidate.division.CPR1",0.00011689143514854,0.000122567179000938,0.95369279199651,0.00024961406081104,2.16874736264866e-05,0.997935522100961,0.0156,0.000197604676884011,"P. Contaminated_Geyser"
"718",718,"Nanoarchaeota",9.67715696479769e-05,0.000114669123204465,0.843920027847642,0.00020536334723214,1.6367241719133e-05,0.998268837411036,0.0422,0.000163592094900022,"P. Contaminated_Geyser"
"720",720,"Deferribacteres",9.39885377118969e-05,9.41680919599923e-05,0.998093258083942,0.000225668471619887,4.20545823565679e-05,0.998591125607249,0.0368,0.000158887386418005,"P. Contaminated_Geyser"
"726",726,"Candidatus.Wirthbacteria",5.40061194592258e-05,4.99292052810743e-05,1.08165389685657,1.33509072449298e-05,0.000116914325451443,0.999280598810385,2e-04,9.12972090030273e-05,"P. Contaminated_Geyser"
"729",729,"Chrysiogenetes",4.17957144863486e-05,4.02928016248148e-05,1.03729978559267,2.25565883865401e-05,9.73200282586544e-05,0.999508479576909,2e-04,7.06555501330808e-05,"P. Contaminated_Geyser"
"733",733,"Candidatus.Heimdallarchaeota",2.936078912855e-05,2.58768860550355e-05,1.1346337834508,6.90013430859078e-05,1.14717704766699e-05,0.999738090345952,0.0046,4.9634340115956e-05,"P. Contaminated_Geyser"
"752",752,"Firmicutes",0.116104876067066,0.085679208604011,1.35511144370714,0.0181020707763504,0.250311822910483,0.639580925727891,2e-04,0.267131177683259,"Karst P._Mine"
"753",753,"Actinobacteria",0.0719865492120273,0.0360963098603068,1.99429109209823,0.140504301445061,0.253570228062318,0.805205766989984,0.0166,0.165624841262093,"Karst P._Mine"
"758",758,"Cyanobacteria",0.00378205201800932,0.00393489801716885,0.961156299733149,0.0023660962276561,0.0086332364341824,0.901494100403656,0.0056,0.00870165012748192,"Karst P._Mine"
"759",759,"Deinococcus.Thermus",0.00362083973484958,0.00418864178772755,0.864442441809754,0.00126814396101409,0.00846483280688929,0.909824837366107,0.007,0.00833073696245101,"Karst P._Mine"
"776",776,"Fusobacteria",0.000547715159182121,0.000365982852437565,1.49655962167123,0.000181568107848273,0.00119199542606268,0.972065670875628,0.003,0.00126016925785899,"Karst P._Mine"
"781",781,"Crenarchaeota",0.000458486878464152,0.000336791414815339,1.36133778444304,0.000133932018461309,0.0010136332536817,0.977689802012507,6e-04,0.00105487507454605,"Karst P._Mine"
"811",811,"Aquificae",0.000112085829222577,6.93151256880781e-05,1.61704719006021,8.26208036837113e-05,0.000273753504076482,0.992141649234481,0.0248,0.000257884255821961,"Karst P._Mine"
"817",817,"Candidatus.Poribacteria",9.85953903328619e-05,7.45871682671862e-05,1.32188139895154,0.000134796301987254,0.000182771969133445,0.993577208865763,0.0108,0.0002268457934409,"Karst P._Mine"
"819",819,"Dictyoglomi",9.54899497816588e-05,0.000128653705716921,0.742224635112856,1.28706765927007e-05,0.000189853339415363,0.994019430823628,0.0236,0.000219700873951956,"Karst P._Mine"
"864",864,"Candidatus.Fraserbacteria",2.12197665247052e-05,2.08592784982743e-05,1.01728190294121,1.56706098502098e-05,4.34343736152937e-05,0.999100361446916,0.0086,4.88219049360472e-05,"Karst P._Mine"
"868",868,"Candidatus.Lokiarchaeota",2.00070260300761e-05,2.4340795399484e-05,0.821954488410031,4.94112369981075e-06,4.14584504094614e-05,0.99928581482838,0.0086,4.6031662117918e-05,"Karst P._Mine"
"892",892,"Coprothermobacterota",5.11607249638038e-06,3.52871437769114e-06,1.44984035226106,3.38827415476721e-06,1.12625130566306e-05,0.999961730529534,0.035,1.17709308810054e-05,"Karst P._Mine"
"896",896,"Candidatus.Korarchaeota",2.15806528227989e-06,2.08056462521957e-06,1.03724981965034,1.72727545141415e-06,3.87623932271141e-06,0.999993219523536,0.0274,4.96522230508667e-06,"Karst P._Mine"
"902",902,"Actinobacteria",0.0575581612790246,0.0518738810920432,1.10957884907234,0.140504301445061,0.0291811081073788,0.460373406873861,0.004,0.176959609619306,"Karst P._S. Saline"
"907",907,"Candidatus.Atribacteria",0.00641312024129326,0.0167002587836137,0.38401322544689,6.4527991055053e-05,0.0128843409898086,0.79605878833774,0.0316,0.0197168086874671,"Karst P._S. Saline"
"911",911,"Candidatus.Saccharibacteria",0.00431976023859559,0.00702123653012857,0.615242090201523,0.000313402386267299,0.00874396631672889,0.860158704250958,2e-04,0.0132808809121819,"Karst P._S. Saline"
"915",915,"candidate.division.NC10",0.00245386892493351,0.00475305463122857,0.516271979878178,0.00494680685132712,3.90690014600953e-05,0.898535114656184,0.029,0.00754429393441092,"Karst P._S. Saline"
"919",919,"Candidatus.Riflebacteria",0.00171069586558334,0.00186137804272729,0.919048052740985,3.42270649069831e-05,0.00344707988833187,0.921992896514169,0.0042,0.00525944654631205,"Karst P._S. Saline"
"926",926,"Synergistetes",0.000871051523174473,0.00140504425303127,0.619945970595052,0.00027869204747118,0.00191735601943504,0.946833081010676,0.0386,0.00267800315496602,"Karst P._S. Saline"
"927",927,"Candidatus.Cloacimonetes",0.000706002934020585,0.000866951133404002,0.814351474746369,0.000132631227222729,0.00151277069678333,0.949003650758183,4e-04,0.00217056974750707,"Karst P._S. Saline"
"932",932,"Candidatus.Aminicenantes",0.000539731167260605,0.000489504642685429,1.10260684004881,0.0014095443378526,0.000419382087538272,0.958288625195051,0.0028,0.00165937574334296,"Karst P._S. Saline"
"941",941,"Fusobacteria",0.000387144163888634,0.000252840761190417,1.53117781352142,0.000181568107848273,0.000917193943234086,0.970517233902155,0.0018,0.00119025484111601,"Karst P._S. Saline"
"969",969,"candidate.division.WOR.3",0.000117623222867581,0.000146357479336483,0.80367073415606,0.000141142464292307,0.000258184572045013,0.988870466670395,0.0256,0.000361626555440031,"Karst P._S. Saline"
"995",995,"Balneolaeota",5.91714046030523e-05,5.29455944367794e-05,1.11758882363115,7.54067391093943e-05,0.00015843393718434,0.995982605793829,0.0366,0.000181919443334011,"Karst P._S. Saline"
"1007",1007,"Candidatus.Bipolaricaulota",4.39207650128654e-05,3.84957726096726e-05,1.1409243674156,0.000110270235382957,4.02610319544139e-05,0.997802204287345,0.0382,0.000135032135463953,"Karst P._S. Saline"
"1014",1014,"Candidatus.Latescibacteria",2.94306155203602e-05,2.97092964178756e-05,0.990619740918948,6.85550008482026e-05,2.18301923313844e-05,0.998553423644737,0.0322,9.04829153259845e-05,"Karst P._S. Saline"
"1018",1018,"Candidatus.Coatesbacteria",2.39227052014604e-05,2.51630449310545e-05,0.950707884002411,4.70272866458161e-05,3.39458097508794e-05,0.998871753948853,0.0164,7.35491280369205e-05,"Karst P._S. Saline"
"1051",1051,"Bacteroidetes",0.11370255200383,0.0964472157643436,1.17890963572912,0.0206944102247908,0.245792277843078,0.306792953384973,8e-04,0.306792953384973,"Karst P._Porous"
"1053",1053,"Actinobacteria",0.0616697100910699,0.053386912246388,1.15514659859809,0.140504301445061,0.0174008297148352,0.777530087757903,0.0294,0.166397606384393,"Karst P._Porous"
"1059",1059,"Candidatus.Parcubacteria",0.00417038114762822,0.00722278316935937,0.577392543821597,6.51190479201709e-05,0.00831729593092252,0.910435496970492,0.036,0.011252549098271,"Karst P._Porous"
"1074",1074,"Candidatus.Dadabacteria",0.000617967512962662,0.00104943932896026,0.588854920822262,4.77809016639489e-05,0.0012563898390722,0.963113158748665,0.0402,0.00166740389777098,"Karst P._Porous"
"1077",1077,"Candidatus.Aminicenantes",0.000572545741317882,0.000506038735814987,1.13142670866052,0.0014095443378526,0.00026708972917374,0.967860061991656,0.0456,0.00154484658287102,"Karst P._Porous"
"1078",1078,"candidate.division.Zixibacteria",0.00049585551727143,0.000659647564846364,0.751697639309739,0.000176782143279552,0.00109844373832585,0.969197982521275,0.0138,0.00133792052961901,"Karst P._Porous"
"1121",1121,"Balneolaeota",8.06831663070755e-05,7.69090479619221e-05,1.04907248815539,7.54067391093943e-05,0.000202548925767053,0.993329846338929,0.0136,0.000217699835610929,"Karst P._Porous"
"1129",1129,"Calditrichaeota",6.1018363406427e-05,5.00219509551579e-05,1.21983173869262,4.42098543151238e-05,0.000146722584974333,0.994860307501567,6e-04,0.000164640138591965,"Karst P._Porous"
"1169",1169,"Candidatus.Fischerbacteria",2.0806915385166e-05,1.67432388592085e-05,1.24270552192012,1.75277124641794e-05,4.94121780705936e-05,0.999227734824405,0.018,5.61413522329746e-05,"Karst P._Porous"
"1202",1202,"Euryarchaeota",0.0728039847915416,0.0869167821207558,0.837628626085042,0.00327629602056584,0.148376487678342,0.455843630932868,0.003,0.149230329469446,"Karst P._Geyser"
"1203",1203,"Actinobacteria",0.0604540051194327,0.0490967782581389,1.23132326120423,0.140504301445061,0.036363523173886,0.579759528222718,2e-04,0.12391589728985,"Karst P._Geyser"
"1205",1205,"Candidatus.Nealsonbacteria",0.0195295713057091,0.0311669012412726,0.626612544972777,0.000273965844991847,0.0392561178130643,0.666664888081609,0.0014,0.0400308357941219,"Karst P._Geyser"
"1207",1207,"Candidatus.Roizmanbacteria",0.00993847641956667,0.0102224434668439,0.97222121617026,0.000796314937603023,0.0204276241848224,0.707932846883038,4e-04,0.020371441408913,"Karst P._Geyser"
"1208",1208,"Nitrospirae",0.00881724353611572,0.00973757200509877,0.905486863819734,0.00486586111561743,0.0212974842522415,0.726006035619539,0.01,0.018073188736501,"Karst P._Geyser"
"1210",1210,"Acidobacteria",0.00851855342681729,0.00608745215904556,1.39936268971893,0.014171601364758,0.00865548845039855,0.760957643136516,2e-04,0.017460947201268,"Karst P._Geyser"
"1213",1213,"Armatimonadetes",0.00569029831247078,0.00701795156323803,0.810820402676777,0.00110914227232063,0.0122277253145611,0.800676426206713,2e-04,0.011663717231699,"Karst P._Geyser"
"1215",1215,"Candidatus.Shapirobacteria",0.00482792436562839,0.00749031694109604,0.644555417827478,0.00018403628005929,0.00979150058177198,0.820739554485201,0.0236,0.00989606195044401,"Karst P._Geyser"
"1218",1218,"Verrucomicrobia",0.00431322319050693,0.00246082758566055,1.7527531045411,0.00893497362410635,0.00485612474212881,0.84813768348407,0.006,0.00884105066003704,"Karst P._Geyser"
"1220",1220,"Candidatus.Berkelbacteria",0.00412642934056692,0.00497864442346916,0.828825879011377,0.000128335529473079,0.00835036102908786,0.865191204493242,4e-04,0.00845816903825203,"Karst P._Geyser"
"1221",1221,"Candidatus.Portnoybacteria",0.00291067584333382,0.00434882555332581,0.669301586748599,0.00015242937460964,0.0059292591015957,0.871157376761466,0.0014,0.00596617226822393,"Karst P._Geyser"
"1224",1224,"candidate.division.NC10",0.00243972603286446,0.00473980049792831,0.514731798085347,0.00494680685132712,9.04763120644712e-05,0.887039865846971,4e-04,0.00500084055484107,"Karst P._Geyser"
"1227",1227,"Candidatus.Pacebacteria",0.00208601674075948,0.0031858921922236,0.654766895707019,9.13754712098487e-05,0.00423754188598558,0.900461673303282,0.035,0.00427582317635,"Karst P._Geyser"
"1228",1228,"Candidatus.Woesearchaeota",0.00199613191173942,0.0023295909552094,0.856859401551033,0.000488852140924431,0.00427033736392325,0.904553254604859,0.0308,0.00409158130157705,"Karst P._Geyser"
"1229",1229,"Candidatus.Aenigmarchaeota",0.00197360149986704,0.00271307066964466,0.72744198002241,1.76123918260568e-05,0.00395997712520213,0.908598654082784,8e-04,0.00404539947792493,"Karst P._Geyser"
"1233",1233,"Candidatus.Kuenenbacteria",0.00179639976042084,0.00242360477396934,0.741209862150392,6.83540625511801e-05,0.00364251283726454,0.923518957160361,0.001,0.003682179332271,"Karst P._Geyser"
"1235",1235,"Candidatus.Desantisbacteria",0.00170083844103475,0.00147999373171133,1.14922003018759,3.2680838253244e-05,0.0034282228560016,0.930656583704948,2e-04,0.00348630204317402,"Karst P._Geyser"
"1240",1240,"Gemmatimonadetes",0.00154649420662844,0.000936038025093552,1.65217028066127,0.00257335299796953,0.00160164375371606,0.947419481996474,2e-04,0.00316993418201694,"Karst P._Geyser"
"1244",1244,"Candidatus.Micrarchaeota",0.00111696065799555,0.00136404888625544,0.818856764776088,0.000106108249809141,0.00231059278140678,0.957862014566912,4e-04,0.00228949565706305,"Karst P._Geyser"
